permno,year,month,logmmt,next_ret,mmt6,mmt12,mmt36,chmmt,idiovol,beta,max,min,capei,be,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,gprof,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,peg_trailing,divyield,peg_1yrforward,peg_ltgforward,DATE,COMNAM,TICKER,SICCD,SECTOR
10002,1993,1,0.0540672217,0.105263,0.2258064491,0.5510204122,0.5199999885,-0.039499679,0.0370167806,0.0502209202,0.055555556,-0.052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,19740628,AMAX INC,AMX,1011.0,Mining
10010,1994,4,0.0877056027,-0.022901,0.6862766733,0.1471119081,-0.282870047,1.0060135075,0.0384380156,1.7732647918,0.1304347813,-0.039999999,-70.172,7.891,0.159,9.489,-21.535,,-8.767,-8.767,1.217,10.964,,-0.138,0.188,0.082,0.66,-0.123,-0.027,0.137,-0.746,0.066,,-0.762,-0.043,-0.762,0.132,0.11,0.511,0.092,0.908,0.917,0.908,0.077,0.077,0.042,0.457,0.372,0.824,5.687,0.009,0.104,0.89,1.515,0.897,0.094,0.415,3.794,9.313,0.917,0.911,11.102,-0.683,1.006,0.401,1.692,3.117,252.844,1.658,0.732,6.201,11.587,0.86,9.354,3.816,0.069,0.017,0.0,0.182,10.732,-0.123,,-0.059,-0.428,19860707,GOLD EXPRESS CORP,GDEX,1040.0,Mining
10011,1995,9,0.0,-0.083333,0.0619469087,0.5000000183,4.5813952775,-0.350553101,0.0173797835,0.2408777532,0.0344827585,-0.033333335,90.446,14.812,0.172,11.446,25.0,,25.862,25.862,2.257,42.919,0.0,0.089,0.179,0.153,0.522,0.145,0.115,0.375,0.306,0.421,0.386,0.308,0.278,0.308,0.619,0.42,0.947,0.813,0.187,0.232,0.187,0.112,0.09,0.073,0.055,0.846,0.17,0.525,0.192,0.573,0.342,1.408,0.413,0.271,0.629,2.943,0.229,0.402,0.291,0.674,11.491,18.1,0.128,2.411,2.553,82.494,26.552,1.813,3.639,12.228,2.466,3.034,5.061,0.0,0.0,0.0,-0.071,5.931,0.066,,,,19860718,ATLANTIS MINING & MFG CO INC,AMMI,1040.0,Mining
10011,1995,10,-0.08701138,-0.090909,-0.208633095,0.0091743127,5.1111110392,-0.483862457,0.0418463705,1.0698621253,0.0806451589,-0.073770493,82.909,14.812,0.172,11.446,22.917,,23.707,23.707,2.069,39.342,0.0,0.089,0.179,0.153,0.522,0.145,0.115,0.375,0.306,0.421,0.386,0.308,0.278,0.308,0.619,0.42,0.947,0.813,0.187,0.232,0.187,0.112,0.09,0.073,0.055,0.846,0.17,0.525,0.192,0.573,0.342,1.408,0.413,0.271,0.629,2.943,0.229,0.402,0.291,0.674,11.491,18.1,0.128,2.411,2.553,82.494,26.552,1.813,3.639,12.228,2.466,3.034,5.061,0.0,0.0,0.0,-0.071,5.437,0.06,,,,19890707,ATLANTIS MINING & MFG CO INC,AMMI,1040.0,Mining
10012,1999,6,-0.1769307,0.112903,1.1379310885,-0.015873061,-0.500000036,1.677613661,0.0539326731,0.7315005875,0.1343283653,-0.106666669,-16.725,4.507,0.13,-29.344,-12.109,-12.109,-9.688,-9.688,2.849,-19.507,,-0.289,-0.1,-0.191,0.253,-0.288,-0.199,-0.112,-0.6,-0.273,,-0.6,-0.343,-0.6,-0.287,-0.214,0.311,0.675,0.325,0.378,0.325,0.071,0.061,0.221,0.536,0.255,0.245,-1.991,0.14,0.624,0.376,-0.351,-0.511,-0.319,,1.712,0.481,0.562,0.541,1.281,-20.916,-14.47,0.354,0.888,1.913,92.756,2.773,1.119,8.926,4.869,1.888,2.797,3.83,0.083,0.0,0.0,0.16,7.968,,,,,19860814,TATUM PETROLEUM CORP,TATM,1380.0,Mining
10012,2000,6,0.6481957954,-0.005747,0.3540856088,4.6129030701,3.0465112884,-2.791075549,0.0712760746,0.496545566,0.25,-0.078947365,-197.42,9.45,0.059,39.424,77.679,83.654,83.654,83.654,7.809,57.674,0.0,0.093,0.149,0.1,0.387,0.094,0.142,0.335,0.368,0.297,0.009,0.368,0.417,0.368,0.316,0.225,0.752,0.882,0.118,0.181,0.118,0.126,0.097,0.631,0.215,0.404,0.137,0.474,0.347,0.73,0.27,1.197,1.09,0.795,0.595,0.803,0.134,0.331,0.246,0.495,12.875,12.671,0.865,1.905,2.427,50.5,6.15,2.251,10.762,7.563,2.563,2.906,5.644,0.047,0.0,0.0,0.094,22.691,,,0.837,1.673,19810303,ACADIA PETROLEUM CORP,ACAD,1311.0,Mining
10012,2000,7,-0.005763705,-0.398844,0.491379314,4.0144926298,4.0882348384,-1.870939435,0.1177785592,4.0629610098,0.2758620679,-0.226720646,-196.28,9.45,0.059,39.424,77.232,83.173,83.173,83.173,7.764,57.343,0.0,0.093,0.149,0.1,0.387,0.094,0.142,0.335,0.368,0.297,0.009,0.368,0.417,0.368,0.316,0.225,0.752,0.882,0.118,0.181,0.118,0.126,0.097,0.631,0.215,0.404,0.137,0.474,0.347,0.73,0.27,1.197,1.09,0.795,0.595,0.803,0.134,0.331,0.246,0.495,12.875,12.671,0.865,1.905,2.427,50.5,6.15,2.251,10.762,7.563,2.563,2.906,5.644,0.047,0.0,0.0,0.094,22.561,,,0.832,1.663,19821101,ACADIA PETROLEUM CORP,ACAD,1311.0,Mining
10015,1984,8,-0.179793114,0.166667,-0.377358496,-0.340000008,,-0.437358493,0.0645172113,1.5111950979,0.0602409653,-0.274725288,,8.08,0.355,7.926,,,9.091,9.091,0.547,6.044,0.0,0.049,0.124,0.083,0.757,0.072,0.09,0.285,0.12,0.218,0.279,0.27,0.225,0.27,0.266,0.205,1.622,0.58,0.42,0.498,0.42,0.177,0.15,0.455,0.09,0.021,0.408,1.528,0.156,0.345,0.655,1.469,1.068,0.334,-0.613,0.81,0.725,0.526,0.496,1.108,2.726,2.919,1.317,1.425,1.566,,20.365,2.143,366.927,,2.619,4.519,20.854,0.0,0.052,0.0,0.089,1.822,,,0.364,,19810813,ACCU TEST SYS INC,ACCU,1389.0,Mining
10015,1984,9,0.1541506841,-0.116883,-0.26666667,-0.230000006,,-0.316666666,0.049487336,-1.873513151,0.1666666716,-0.051282052,,8.08,0.355,7.926,,,10.511,10.511,0.638,7.052,0.0,0.049,0.124,0.083,0.757,0.072,0.09,0.285,0.12,0.218,0.279,0.27,0.225,0.27,0.266,0.205,1.622,0.58,0.42,0.498,0.42,0.177,0.15,0.455,0.09,0.021,0.408,1.528,0.156,0.345,0.655,1.469,1.068,0.334,-0.613,0.81,0.725,0.526,0.496,1.108,2.726,2.919,1.317,1.425,1.566,,20.365,2.143,366.927,,2.619,4.519,20.854,0.0,0.052,0.0,0.089,2.125,,,0.42,,19821101,ACCU TEST SYS INC,ACCU,1389.0,Mining
10015,1984,10,-0.124297713,-0.132353,-0.413793105,-0.381818185,,-0.468338556,0.0318266435,-0.15756882,0.0769230798,-0.089743592,,8.513,0.415,7.492,,,10.855,10.855,0.53,6.078,0.0,0.045,0.122,0.08,0.755,0.07,0.087,0.279,0.185,0.208,0.279,0.217,0.193,0.217,0.244,0.196,1.637,0.604,0.396,0.459,0.396,0.16,0.138,0.47,0.093,0.018,0.38,1.434,0.137,0.345,0.655,1.534,1.094,0.334,-0.613,0.76,0.656,0.501,0.47,1.003,2.869,3.317,1.364,1.468,1.618,,20.382,2.167,430.195,,2.619,4.339,20.289,0.0,0.052,0.0,0.091,1.781,,,,,19830124,ACCU TEST SYS INC,ACCU,1389.0,Mining
