permno,year,month,logmmt,next_ret,mmt6,mmt12,mmt36,chmmt,idiovol,beta,max,min,capei,be,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,gprof,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,peg_trailing,divyield,peg_1yrforward,peg_ltgforward,DATE,COMNAM,TICKER,SICCD,SECTOR
10001,1997,2,0.0,0.012174,0.0401528317,-0.021428727,0.1323251597,0.0993571684,0.0314603494,-1.346703856,0.0615384616,-0.057971016,17.051,14.625,0.712,8.595,12.234,,10.849,10.849,0.635,14.438,0.0,0.034,0.141,0.088,0.141,0.054,0.088,0.123,0.077,0.098,0.358,0.101,0.1,0.101,0.124,0.083,0.12,0.526,0.474,0.864,0.474,0.133,0.073,0.015,0.288,0.465,0.484,4.029,0.451,0.455,0.376,0.374,0.117,0.024,-6.576,1.059,0.682,0.705,0.642,2.392,1.828,2.108,0.032,0.582,0.817,66.843,9.697,0.852,6.99,16.132,1.521,2.889,,0.0,0.0,0.0,0.008,1.39,,4.87,,,19910416,LAMONTS CORP,LMNT,5650.0,Retail Trade
10001,1997,3,0.0121004064,0.0,0.0106078223,-0.044071219,0.151043029,0.0647129267,0.0411351067,0.3876632865,0.0744615346,-0.057971016,17.051,14.625,0.712,8.595,12.234,,10.849,10.849,0.635,14.438,0.0,0.034,0.141,0.088,0.141,0.054,0.088,0.123,0.077,0.098,0.358,0.101,0.1,0.101,0.124,0.083,0.12,0.526,0.474,0.864,0.474,0.133,0.073,0.015,0.288,0.465,0.484,4.029,0.451,0.455,0.376,0.374,0.117,0.024,-6.576,1.059,0.682,0.705,0.642,2.392,1.828,2.108,0.032,0.582,0.817,66.843,9.697,0.852,6.99,16.132,1.521,2.889,,0.0,0.0,0.0,0.008,1.39,,4.87,,,19911119,LAMONTS CORP,LMNT,5650.0,Retail Trade
10001,1997,4,0.0,0.0,0.040331582,0.0288098724,0.3461350604,0.0514066178,0.0369343653,0.6214488764,0.0606060624,-0.057971016,16.809,15.395,0.804,7.943,9.914,,8.984,8.984,0.564,9.096,0.0,0.038,0.134,0.086,0.134,0.058,0.086,0.129,0.094,0.106,0.358,0.124,0.113,0.124,0.136,0.089,0.125,0.535,0.465,0.867,0.465,0.142,0.076,0.01,0.272,0.477,0.474,3.801,0.463,0.473,0.36,0.373,0.172,0.024,-6.576,1.077,0.662,0.707,0.644,2.418,1.978,2.222,0.021,0.592,0.814,59.344,10.862,0.929,7.157,14.518,1.698,3.175,,0.0,0.0,0.0,0.022,1.321,,4.87,,,19921102,LAMONTS APPAREL INC,LMNT,5650.0,Retail Trade
10001,1997,5,0.0,-0.030725,0.0106078224,0.0511753037,0.2606661675,-0.029533843,0.0316338733,-1.105056947,0.0615384616,-0.043478262,16.809,15.395,0.804,7.943,9.914,,8.984,8.984,0.564,9.096,0.0,0.038,0.134,0.086,0.134,0.058,0.086,0.129,0.094,0.106,0.358,0.124,0.113,0.124,0.136,0.089,0.125,0.535,0.465,0.867,0.465,0.142,0.076,0.01,0.272,0.477,0.474,3.801,0.463,0.473,0.36,0.373,0.172,0.024,-6.576,1.077,0.662,0.707,0.644,2.418,1.978,2.222,0.021,0.592,0.814,59.344,10.862,0.929,7.157,14.518,1.698,3.175,,0.0,0.0,0.0,0.022,1.321,,4.87,,,19921207,LAMONTS APPAREL INC,LMNT,5650.0,Retail Trade
10001,1997,6,-0.031206535,0.045455,0.041449097,0.0842474463,0.1035229002,0.0003540982,0.0227476676,1.6234247194,0.0454545468,-0.043478262,16.078,15.395,0.804,7.943,9.483,,8.594,8.594,0.54,8.7,0.0,0.038,0.134,0.086,0.134,0.058,0.086,0.129,0.094,0.106,0.358,0.124,0.113,0.124,0.136,0.089,0.125,0.535,0.465,0.867,0.465,0.142,0.076,0.01,0.272,0.477,0.474,3.801,0.463,0.473,0.36,0.373,0.172,0.024,-6.576,1.077,0.662,0.707,0.644,2.418,1.978,2.222,0.021,0.592,0.814,59.344,10.862,0.929,7.157,14.518,1.698,3.175,,0.0,0.0,0.0,0.022,1.263,,5.33,,,19950110,LAMONTS APPAREL INC,LMNT,5650.0,Retail Trade
10001,1998,12,0.0315500019,0.0,0.1433150008,0.1242437819,0.1905287184,0.1599956346,0.012416141,0.3337910329,0.0202702694,-0.019867551,17.004,16.6,0.801,7.268,15.039,15.039,15.039,15.039,0.541,4.699,0.701,0.035,0.127,0.087,0.127,0.055,0.081,0.13,0.094,0.115,0.361,0.123,0.123,0.123,0.135,0.097,0.129,0.426,0.574,0.636,0.574,0.117,0.078,0.002,0.424,0.365,0.451,3.489,0.097,0.228,0.583,0.813,0.735,0.167,0.392,1.111,1.041,0.698,0.623,2.313,1.96,2.37,0.009,1.053,1.827,74.254,6.491,1.022,10.894,22.861,1.431,3.361,7.716,0.0,0.0,0.0,0.082,1.404,,4.78,-9.578,3.008,19860214,VIDEO LIBRARY INC,VLVL,5730.0,Retail Trade
10001,2005,3,0.1176248258,-0.074684,0.1655738093,-0.019310328,-0.270581786,0.3241945126,0.0536822163,0.8063117386,0.1572701037,-0.093589745,20.855,17.272,1.089,17.793,-10.773,-10.773,-10.773,-10.773,0.256,-77.443,,-0.016,0.039,0.007,0.039,-0.028,0.036,0.043,-0.059,0.011,,-0.081,0.044,-0.081,0.015,0.009,0.044,0.436,0.564,1.033,0.564,0.154,0.084,0.045,0.278,0.387,0.515,11.819,0.455,0.468,0.359,0.119,-0.01,-0.125,,1.355,0.943,0.782,0.724,3.595,0.578,0.183,0.096,0.647,0.896,53.563,11.845,1.126,8.878,20.925,2.257,5.173,5235.07,0.0,0.0,0.0,0.014,1.081,-0.577,,,,19860410,SPROUSE REITZ STORES INC,STRS,5390.0,Retail Trade
10001,2005,4,-0.077619505,0.21903,0.1421874521,-0.081145234,-0.294532304,0.3377181294,0.0325004432,0.2172242541,0.0649547279,-0.068917051,21.959,17.932,1.0,14.874,-14.62,-14.62,-14.62,-14.62,0.235,11.724,,-0.011,0.047,0.016,0.047,-0.019,0.038,0.053,-0.042,0.024,,-0.058,0.055,-0.058,0.033,0.02,0.052,0.412,0.588,1.022,0.588,0.149,0.086,0.059,0.301,0.378,0.511,9.788,0.424,0.465,0.371,0.141,0.061,-0.125,-1.297,1.397,1.038,0.794,0.732,3.859,0.717,0.401,0.128,0.647,0.926,59.82,10.31,1.114,8.613,21.334,2.228,5.414,5235.07,0.0,0.0,0.0,0.035,0.963,,,,,19911203,SPROUSE REITZ STORES INC,STRS,5390.0,Retail Trade
10001,2005,5,0.1980557236,0.128429,0.3501684157,0.2169954857,-0.152575811,0.4488027257,0.0448315094,-0.55630598,0.1785041094,-0.030855764,26.769,17.932,1.0,14.874,-17.822,-17.822,-17.822,-17.822,0.287,14.292,,-0.011,0.047,0.016,0.047,-0.019,0.038,0.053,-0.042,0.024,,-0.058,0.055,-0.058,0.033,0.02,0.052,0.412,0.588,1.022,0.588,0.149,0.086,0.059,0.301,0.378,0.511,9.788,0.424,0.465,0.371,0.141,0.061,-0.125,-1.297,1.397,1.038,0.794,0.732,3.859,0.717,0.401,0.128,0.647,0.926,59.82,10.31,1.114,8.613,21.334,2.228,5.414,5235.07,0.0,0.0,0.0,0.035,1.174,,,,,19920701,SPROUSE REITZ STORES INC,STRS,5390.0,Retail Trade
10001,2005,6,0.1208263036,0.009945,0.3115942245,0.3588589199,-0.020211658,0.2755581589,0.0646152055,1.7633467559,0.1845238358,-0.066382244,33.521,17.932,1.0,14.874,-20.111,-20.111,-20.111,-20.111,0.359,17.897,,-0.011,0.047,0.016,0.047,-0.019,0.038,0.053,-0.042,0.024,,-0.058,0.055,-0.058,0.033,0.02,0.052,0.412,0.588,1.022,0.588,0.149,0.086,0.059,0.301,0.378,0.511,9.788,0.424,0.465,0.371,0.141,0.061,-0.125,-1.297,1.397,1.038,0.794,0.732,3.859,0.717,0.401,0.128,0.647,0.926,59.82,10.31,1.114,8.613,21.334,2.228,5.414,5235.07,0.0,0.0,0.0,0.035,1.47,,,,,19930908,SPROUSE REITZ STORES INC,STRS,5390.0,Retail Trade
